Date,Value
2017-12-31,2402333.0
2016-12-31,2388280.0
2015-12-31,2353324.0
2014-12-31,2320347.0
2013-12-31,2285051.0
2012-12-31,2247468.0
2011-12-31,2210230.0
2010-12-31,2173783.0
2009-12-31,2152190.0
2008-12-31,2130402.0
2007-12-31,2105862.0
2006-12-31,2074872.0
2005-12-31,2037846.0
2004-12-31,1995273.0
2003-12-31,1960176.0
2002-12-31,1940102.0
2001-12-31,1932404.0
2000-12-31,1927608.0
1999-12-31,1915184.0
1998-12-31,1899111.0
1997-12-31,1888573.0
1996-12-31,1890872.0
1995-12-31,1905770.0
1994-12-31,1936261.0
1993-12-31,1968175.0
1992-12-31,2008708.0
1991-12-31,2054080.0
1990-12-31,2095145.0
1989-12-31,2136057.0
1988-12-31,2178431.0
1987-12-31,2215608.0
1986-12-31,2239492.0
1985-12-31,2248309.0
1984-12-31,2247375.0
1983-12-31,2236928.0
1982-12-31,2212858.0
1981-12-31,2176853.0
1980-12-31,2133313.0
1979-12-31,2088407.0
1978-12-31,2037113.0
1977-12-31,1988401.0
1976-12-31,1945213.0
1975-12-31,1903062.0
1974-12-31,1841806.0
1973-12-31,1766617.0
1972-12-31,1683422.0
1971-12-31,1606702.0
1970-12-31,1544742.0
1969-12-31,1510106.0
1968-12-31,1459266.0
1967-12-31,1394689.0
1966-12-31,1330295.0
1965-12-31,1277059.0
1964-12-31,1234518.0
1963-12-31,1187869.0
1962-12-31,1147661.0
1961-12-31,1122873.0
1960-12-31,1114222.0